TEST,ANSWER,TIME
local_tests/generated\251.txt,5,0.09798693656921387
local_tests/generated\252.txt,12,0.11787629127502441
local_tests/generated\253.txt,2,0.10599374771118164
local_tests/generated\254.txt,4,0.1210179328918457
local_tests/generated\255.txt,14,0.12071919441223145
local_tests/generated\256.txt,7,0.13397860527038574
local_tests/generated\257.txt,8,0.11298084259033203
local_tests/generated\258.txt,8,0.13599467277526855
local_tests/generated\259.txt,8,0.13296031951904297
local_tests/generated\260.txt,13,0.13199567794799805
local_tests/generated\261.txt,6,0.12141942977905273
local_tests/generated\262.txt,2,0.147996187210083
local_tests/generated\263.txt,11,0.1625223159790039
local_tests/generated\264.txt,8,0.12722182273864746
local_tests/generated\265.txt,17,0.13799142837524414
local_tests/generated\266.txt,12,0.1156609058380127
local_tests/generated\267.txt,5,0.13199543952941895
local_tests/generated\268.txt,-1,0.12377166748046875
local_tests/generated\269.txt,17,0.13899564743041992
local_tests/generated\270.txt,7,0.14190173149108887
local_tests/generated\271.txt,11,0.11687922477722168
local_tests/generated\272.txt,15,0.11499500274658203
local_tests/generated\273.txt,8,0.13849663734436035
local_tests/generated\274.txt,5,0.11976313591003418
local_tests/generated\275.txt,10,0.13881421089172363
local_tests/generated\276.txt,7,0.1249990463256836
local_tests/generated\277.txt,3,0.1359391212463379
local_tests/generated\278.txt,12,0.12298750877380371
local_tests/generated\279.txt,14,0.1202082633972168
local_tests/generated\280.txt,1,0.10800051689147949
local_tests/generated\281.txt,14,0.13499093055725098
local_tests/generated\282.txt,12,0.1421349048614502
local_tests/generated\283.txt,-1,0.12098121643066406
local_tests/generated\284.txt,10,0.13012981414794922
local_tests/generated\285.txt,12,0.10899019241333008
local_tests/generated\286.txt,6,0.14060735702514648
local_tests/generated\287.txt,4,0.12499713897705078
local_tests/generated\288.txt,2,0.13381338119506836
local_tests/generated\289.txt,-1,0.11099600791931152
local_tests/generated\290.txt,9,0.11261320114135742
local_tests/generated\291.txt,10,0.1340043544769287
local_tests/generated\292.txt,4,0.10799789428710938
local_tests/generated\293.txt,5,0.10400223731994629
local_tests/generated\294.txt,4,0.1419973373413086
local_tests/generated\295.txt,14,0.13429832458496094
local_tests/generated\296.txt,16,0.12145614624023438
local_tests/generated\297.txt,10,0.12741327285766602
local_tests/generated\298.txt,14,0.1319901943206787
local_tests/generated\299.txt,10,0.12398624420166016
local_tests/generated\300.txt,-1,0.11598372459411621
local_tests/generated\301.txt,13,0.14277887344360352
local_tests/generated\302.txt,6,0.20992636680603027
local_tests/generated\303.txt,11,0.14769911766052246
local_tests/generated\304.txt,19,0.12598156929016113
