TEST,ANSWER,TIME
local_tests/generated\268.txt,-1,0.14987611770629883
local_tests/generated\269.txt,17,0.14700913429260254
local_tests/generated\270.txt,7,0.1233973503112793
local_tests/generated\271.txt,11,0.13494324684143066
local_tests/generated\272.txt,15,0.11690092086791992
local_tests/generated\273.txt,8,0.1339888572692871
local_tests/generated\274.txt,5,0.12899446487426758
local_tests/generated\275.txt,10,0.14157485961914062
local_tests/generated\276.txt,7,0.12119364738464355
local_tests/generated\277.txt,3,0.12674617767333984
local_tests/generated\278.txt,12,0.10757970809936523
local_tests/generated\279.txt,14,0.13210511207580566
local_tests/generated\280.txt,1,0.13124346733093262
local_tests/generated\281.txt,14,0.13046765327453613
local_tests/generated\282.txt,12,0.1304764747619629
local_tests/generated\283.txt,-1,0.1549990177154541
local_tests/generated\284.txt,10,0.10498857498168945
local_tests/generated\285.txt,12,0.0979914665222168
local_tests/generated\286.txt,6,0.12199831008911133
local_tests/generated\287.txt,4,0.1186227798461914
local_tests/generated\288.txt,2,0.12407636642456055
local_tests/generated\289.txt,-1,0.13626599311828613
local_tests/generated\290.txt,9,0.10500407218933105
local_tests/generated\291.txt,10,0.11161518096923828
local_tests/generated\292.txt,4,0.09266853332519531
local_tests/generated\293.txt,5,0.13245582580566406
local_tests/generated\294.txt,4,0.10299539566040039
local_tests/generated\295.txt,14,0.11586332321166992
local_tests/generated\296.txt,16,0.10098814964294434
local_tests/generated\297.txt,10,0.1450960636138916
local_tests/generated\298.txt,14,0.1818985939025879
local_tests/generated\299.txt,10,0.13500261306762695
local_tests/generated\300.txt,-1,0.1255803108215332
local_tests/generated\301.txt,13,0.12938189506530762
local_tests/generated\302.txt,6,0.1378800868988037
local_tests/generated\303.txt,11,0.19507360458374023
local_tests/generated\304.txt,19,0.14388537406921387
local_tests/generated\305.txt,12,0.11872196197509766
local_tests/generated\306.txt,5,0.11120486259460449
local_tests/generated\307.txt,16,0.12761306762695312
local_tests/generated\308.txt,6,0.11739969253540039
local_tests/generated\309.txt,5,0.11582589149475098
local_tests/generated\310.txt,-1,0.14848566055297852
local_tests/generated\311.txt,10,0.14099526405334473
local_tests/generated\312.txt,16,0.11898636817932129
local_tests/generated\313.txt,6,0.10985875129699707
local_tests/generated\314.txt,8,0.11031746864318848
local_tests/generated\315.txt,14,0.12806129455566406
local_tests/generated\316.txt,8,0.11556720733642578
local_tests/generated\317.txt,6,0.11935091018676758
local_tests/generated\318.txt,15,0.13042616844177246
local_tests/generated\319.txt,7,0.14400076866149902
local_tests/generated\320.txt,6,0.1159672737121582
local_tests/generated\321.txt,6,0.10899686813354492
local_tests/generated\322.txt,15,0.13000249862670898
local_tests/generated\323.txt,7,0.11342406272888184
local_tests/generated\324.txt,12,0.12825393676757812
local_tests/generated\325.txt,10,0.13271141052246094
local_tests/generated\326.txt,7,0.11298561096191406
local_tests/generated\327.txt,4,0.10500049591064453
local_tests/generated\328.txt,7,0.1499934196472168
local_tests/generated\329.txt,5,0.10568475723266602
local_tests/generated\330.txt,10,0.12698984146118164
local_tests/generated\331.txt,8,0.12007474899291992
local_tests/generated\332.txt,6,0.1233673095703125
local_tests/generated\333.txt,6,0.11533546447753906
local_tests/generated\334.txt,7,0.13499879837036133
local_tests/generated\335.txt,-1,0.13366103172302246
local_tests/generated\336.txt,4,0.12299799919128418
local_tests/generated\337.txt,-1,0.1291675567626953
local_tests/generated\338.txt,5,0.13099312782287598
local_tests/generated\339.txt,6,0.12865328788757324
local_tests/generated\340.txt,9,0.11299967765808105
local_tests/generated\341.txt,-1,0.14289522171020508
local_tests/generated\342.txt,8,0.1522517204284668
local_tests/generated\343.txt,21,0.15798068046569824
local_tests/generated\344.txt,8,0.12278199195861816
local_tests/generated\345.txt,7,0.12400221824645996
local_tests/generated\346.txt,-1,0.13538575172424316
local_tests/generated\347.txt,6,0.11299848556518555
local_tests/generated\348.txt,10,0.10899162292480469
local_tests/generated\349.txt,9,0.12605071067810059
local_tests/generated\350.txt,3,0.12800049781799316
local_tests/generated\351.txt,6,0.11557650566101074
local_tests/generated\352.txt,-1,0.13354825973510742
local_tests/generated\353.txt,-1,0.12088561058044434
local_tests/generated\354.txt,-1,0.12600493431091309
local_tests/generated\355.txt,4,0.1299898624420166
local_tests/generated\356.txt,7,0.11558413505554199
local_tests/generated\357.txt,-1,0.13374996185302734
local_tests/generated\358.txt,6,0.1258089542388916
local_tests/generated\359.txt,2,0.13543939590454102
local_tests/generated\360.txt,5,0.1473076343536377
local_tests/generated\361.txt,1,0.14599251747131348
local_tests/generated\362.txt,15,0.12966537475585938
local_tests/generated\363.txt,8,0.13513588905334473
local_tests/generated\364.txt,6,0.13820338249206543
local_tests/generated\365.txt,15,0.11479330062866211
local_tests/generated\366.txt,-1,0.11253643035888672
local_tests/generated\367.txt,16,0.10499739646911621
local_tests/generated\368.txt,10,0.12988758087158203
local_tests/generated\369.txt,-1,0.12808656692504883
local_tests/generated\370.txt,8,0.1220088005065918
local_tests/generated\371.txt,12,0.10773587226867676
local_tests/generated\372.txt,11,0.12298774719238281
local_tests/generated\373.txt,10,0.13898682594299316
local_tests/generated\374.txt,9,0.14999675750732422
local_tests/generated\375.txt,-1,0.1719651222229004
local_tests/generated\376.txt,-1,0.1294095516204834
local_tests/generated\377.txt,15,0.1730051040649414
local_tests/generated\378.txt,2,0.14351511001586914
local_tests/generated\379.txt,5,0.12799763679504395
local_tests/generated\380.txt,20,0.1332263946533203
local_tests/generated\381.txt,-1,0.12012934684753418
local_tests/generated\382.txt,9,0.12799501419067383
local_tests/generated\383.txt,8,0.14176416397094727
local_tests/generated\384.txt,12,0.13599610328674316
